index,sentence
0,beattie praises federal govts environment effort
1,blackout cause still under investigation
2,boost planned for central vic tourism
3,boy killed in middle east clashes witnesses
4,bracks critical of oppositions baseless
5,bracks supports pm choosing g g
6,brazilian coaches resign at paysandu goias and
7,british backpacker murder committal continues
8,broader approach needed to tackle road woes chamber
9,broken hill well positioned for zinc demand
10,brown resigns as philadelphia coach
11,call for plan to eliminate ojd
12,canada back on sars list
13,carrey rules almighty at box office
14,champions league final a dream come true for old
15,children critically injured in house fire
16,china arrests nz us men over terrorism
17,clean up continues after japan quake
18,clean up on after toxic spill
19,cockbain to captain australia a
20,coles myer joins fuel business
21,company backs improved pay for aged care nurses
22,corbell tight lipped on garden city plan
23,corrupt judge jailed for life in china
24,councillor laments lifesaving event loss
25,council loses plan to scrap divisions
26,council rejects rate claims
27,council rethinks cultural precinct cost
28,councils promise fight to win back horse races
29,council to host sawmill meeting
30,country publican faces murder committal hearing
31,court hears bailed man caused fatal accident
32,cwealth urged to cut ties with indonesia military
33,dixon suspended for crucial st kilda clash
34,dna database has major deficiencies review
35,dollar has further to run economist
36,downer asks tamils to rejoin peace talks
37,dramatic rise in qld female lung cancer victims
38,drug squad investigations will continue police
39,earthquake hits indonesia
40,elevation of marsh to tassies vs c a fitting reward
41,energex makes deal on cleaner fuel
42,epa recommends against clearing
43,eu publishes constitutional draft
44,extra funds for juvenile bail scheme
45,farmers urged to quickly lodge drought applications
46,federal police probe woomera claims
47,federer express derailed in first round
48,fierce clashes reported in aceh
49,fire budget lift to boost controlled burning
50,former champion pierce crumbles in the dust
51,former housemate evicts corretja
52,foster carers sought in western vic
53,future of raymond terrace court under review
54,gallop urges federal labor to focus on health
55,gay age of consent bill passed
56,gippsland dairy farmer loses cows to toxic hay
57,govt criticised over planned lpg excise
58,govt criticised over tas aged care priorities
59,govt will support tail docking ban ah kit
60,grant for festival of darwin choir
61,greek lawyers accuse blair straw of crimes against
62,green group welcomes shark protection review
63,group to lobby for indian ocean drive work
64,hawthorns dixon to face striking charge
65,hewitt and clijsters through as costa survives
66,hewitt clijsters win opening matches
67,hewitt to enter french open fray
68,highway campaign to head to canberra
69,hollingworth to explain decision tomorrow
70,home favourite mauresmo jumps opening hurdle
71,honey laundering gets up bonnet of bee keepers
72,howard requests green until july
73,icpa welcomes postage changes
74,india and pakistan resume hockey rivalry
75,injured petacchi beats pain to win giro stage
76,inquiry chief criticises rail authority over
77,instant planets just wait 3 million years
78,irc passes on 15 pay rise for workers
79,irrigators facing uncertainty
80,irrigators take action over water sharing plans
81,japanese firm to continue green support
82,jury considers fingleton verdict
83,king brothers to face court over bus firm collapse
84,knowles denies meningococcal disease cover up
85,last days for green group
86,lobster fishermen reject user fee plan
87,long way to go to reconciliation huggins
88,lovelorn brits hit the road
89,macdougall banned from training
90,mackenroth predicts increased net worth
91,major counter terrorism exercise begins in sydney
92,man jailed over tourist rape
93,mayne suing pan for 25 million
94,mcdougall faces training ban during contract talks
95,mcmanus macdonald fined
96,mcmanus mcdonald fined
97,meeting to discuss central qld water issues
98,middle east peace meeting postponed
99,miner rejects pollution claims
100,ministers deny request for hicks meeting
101,ministers plasma tvs cost telstra 40000
102,missing woman search to focus on mountainside
103,mock terrorism activity to be staged in canberra
104,morocco bomb suspects charged in casablanca
105,mountaineer home after everest rescue
106,native title claim unites noongars
107,netball australia rules against avellino
108,netball sa upset by avellino ruling
109,new centre to offer youth cooler sport venue
110,newmont to go gold digging in eyre peninsula
111,no proof linking north korea heroin haul afp
112,no recollection of g g mishandling claim pm
113,nsw reviewing protection of grey nurse shark
114,nt oppn fears budget re packaging
115,nt scraps rego levy in budget
116,only two creditors to see funds administrator
117,oppn questions telstra ceos 1m clause
118,pakistan province to decide on sharia
119,pakistan says icc rules are not constant
120,palaszczuk pushing for national tail docking ban
121,paradorn pitiful in paris
122,philippoussis wins larkham and pratt bow out at
123,pm says hicks may be charged under us law
124,pms cellar costs hit 20000
125,pm unaware of g g claims before appointment
126,png considers new refugee laws
127,png sedition charges resurface
128,polak receives rising star nod
129,police association welcomes recruitment funding
130,police civilian staff strike spreads
131,police find new lead in tweed murder
132,police happy with mock terrorism response
133,police officers remanded on drug trafficking
134,police probe chlorine bomb attack
135,police take dna samples in murder case
136,police to take more dna samples to help solve
137,private funds sought for jetty plan
138,profit warning hits aristocrat shares
139,property group dismisses market crash fears
140,public urged to remain water vigilant
141,qantas closes launceston retail outlet
142,qc questions nick whitlams dishonesty conviction
143,qld dubbed homelessness state
144,qld governor makes last townsville trip
145,qld govt to expand hardwood scheme
146,qlds new ama boss vows to tackle medical indemnity
147,quakes hits asia one dead
148,rare leopard spotted in china
149,refurbished meatworks set to reopen
150,report warns of dementia epidemic
151,reprieve possible for bush race clubs
152,rfs faces bill after bushfires
153,road map summit next week in jordan report
154,runaway swine shot while attending day care
155,russia china warn north korea on nuclear weapons
156,russia to finish building iranian nuclear power
157,ryan defends acm performance
158,saddam still inside iraq time
159,sa farmers to get cheaper electricity
160,safety concerns close road to caves
161,sa govt rejects theatre claims
162,saints give capuano his marching orders
163,saints sack capuano
164,sa man to front court on drug charges
165,sawmill wants log stockpile released
166,scheme aims for jobs boost
167,scottish fa to investigate sutton outburst
168,scud comes from behind agassi serena through
169,self representation under review for high court
170,serena costa under pressure in paris
171,serena fails to meet lofty goal
172,shear outback plans spending boost
173,shopping centre plan back on agenda
174,slack comfortable with heenans progress
175,sms saves stranded tourist
176,sole crew survivor to face waterfall inquiry
177,sole crew survivor to give evidence at train crash
178,solicitor wins misconduct appeal
179,solomons lawyers warn of gun threat
180,spain to repatriate air crash victims
